id;idcor;authors;year;ref;doi;url;experiment.type;condition;stress;location;nb.site;names.s1;names.s2;names.s3;names.s4;names.s5;trace;lat.dms.s1;lat.dir.s1;long.dms.s1;long.dir.s1;lat.dms.s2;lat.dir.s2;long.dms.s2;long.dir.s2;lat.dms.s3;lat.dir.s3;long.dms.s3;long.dir.s3;lat.dms.s4;lat.dir.s4;long.dms.s4;long.dir.s4;lat.dms.s5;lat.dir.s5;long.dms.s5;long.dir.s5;life.form;veg.sp;veg.type;bio.scale;bio.scale.genera;nb.sp.reported;fitness;RGR.authors;RGR.min.authors;RGR.max.authors;RGR.unit.authors;RGR;RGR.min;RGR.max;RGR.unit;RGR.eq;RGR.dataset;RGR.dataset.period;trait.dataset;Traits.Dataset.period;RGR.stage;trait.stage;stage;stage.reported;stage.simi;trait.size.unit;measure.size;size.min;size.max;size.mean.range;trait.org;trait;trait.def;trait.min;trait.max;trait.unit;sample.size;relation.sign;coef.value.recorded;coef;coef.type
1;1;Aiba.and.Kohyama;1997;Aiba.and.Kohyama.1997;10.2307/2960532;http://www.jstor.org/stable/2960532?origin=crossref;field_forest understory;natural;unstressed;Japan_Southern;2;Koyohji valley;Segire valley;NA;NA;NA;transect;30:18:00/N;N;130:24:00/E;E;30:20:00/N;N;130:27:00/E;E;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;tree;;temperate rain forest;intersp;intersp;14;growth;GR(Di)mean;0,2;1,7;mm.y-1;GR(Di);0,02;0,17;cm.yr-1;see Sheil et al 1995;local;1983-1993;local;1997;adult;adult;adult;n adult?;Sim;D;diameter;8;40;24;CrownWidth;CrownWidth;CrownWidth;NA;NA;NA;14;N;-0,586;-0,586;CoefCorR
1;2;Aiba.and.Kohyama;1997;Aiba.and.Kohyama.1997;10.2307/2960532;http://www.jstor.org/stable/2960532?origin=crossref;field_forest understory;natural;unstressed;Japan_Southern;2;Koyohji valley;Segire valley;NA;NA;NA;transect;30:18:00/N;N;130:24:00/E;E;30:20:00/N;N;130:27:00/E;E;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;tree;;temperate rain forest;intersp;intersp;14;growth;GR(Di)mean;0,3;0,9;mm.y-1;GR(Di);0,03;0,09;cm.yr-1;see Sheil et al 1995;local;1983-1993;local;1997;sapling;sapling;sapling;y;Sim;D;diameter;2;8;5;CrownWidth;CrownWidth;CrownWidth;NA;NA;NA;14;O;-0,347;-0,347;CoefCorR
1;3;Aiba.and.Kohyama;1997;Aiba.and.Kohyama.1997;10.2307/2960532;http://www.jstor.org/stable/2960532?origin=crossref;field_forest understory;natural;unstressed;Japan_Southern;2;Koyohji valley;Segire valley;NA;NA;NA;transect;30:18:00/N;N;130:24:00/E;E;30:20:00/N;N;130:27:00/E;E;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;tree;;temperate rain forest;intersp;intersp;14;growth;GR(Di)mean;0,2;1,7;mm.y-1;GR(Di);0,02;0,17;cm.yr-1;see Sheil et al 1995;local;1983-1993;local;1997;adult;adult;adult;n adult?;Sim;D;diameter;8;40;24;CrownWidth;CrownWidth;CrownWidth;NA;NA;NA;14;O;-0,529;-0,529;CoefCorR
1;4;Aiba.and.Kohyama;1997;Aiba.and.Kohyama.1997;10.2307/2960532;http://www.jstor.org/stable/2960532?origin=crossref;field_forest understory;natural;unstressed;Japan_Southern;2;Koyohji valley;Segire valley;NA;NA;NA;transect;30:18:00/N;N;130:24:00/E;E;30:20:00/N;N;130:27:00/E;E;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;tree;;temperate rain forest;intersp;intersp;14;growth;GR(Di)mean;0,3;0,9;mm.y-1;GR(Di);0,03;0,09;cm.yr-1;see Sheil et al 1995;local;1983-1993;local;1997;sapling;sapling;sapling;y;Sim;D;diameter;2;8;5;WD;WD;wood density ;0,47;0,74;g.cm-3;14;O;-0,034;-0,034;CoefCorR
1;5;Aiba.and.Kohyama;1997;Aiba.and.Kohyama.1997;10.2307/2960532;http://www.jstor.org/stable/2960532?origin=crossref;field_forest understory;natural;unstressed;Japan_Southern;2;Koyohji valley;Segire valley;NA;NA;NA;transect;30:18:00/N;N;130:24:00/E;E;30:20:00/N;N;130:27:00/E;E;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;tree;;temperate rain forest;intersp;intersp;14;growth;GR(Di)mean;0,2;1,7;mm.y-1;GR(Di);0,02;0,17;cm.yr-1;see Sheil et al 1995;local;1983-1993;local;1997;adult;adult;adult;n adult?;Sim;D;diameter;8;40;24;WD;WD;wood density ;0,59;0,91;g.cm-3;14;O;-0,046;-0,046;CoefCorR
1;6;Aiba.and.Kohyama;1997;Aiba.and.Kohyama.1997;10.2307/2960532;http://www.jstor.org/stable/2960532?origin=crossref;field_forest understory;natural;unstressed;Japan_Southern;2;Koyohji valley;Segire valley;NA;NA;NA;transect;30:18:00/N;N;130:24:00/E;E;30:20:00/N;N;130:27:00/E;E;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;tree;;temperate rain forest;intersp;intersp;14;growth;GR(Di)mean;0,2;1,7;mm.y-1;GR(Di);0,02;0,17;cm.yr-1;see Sheil et al 1995;local;1983-1993;local;1997;adult;adult;adult;n adult?;Sim;D;diameter;8;40;24;WD;WD;wood density ;0,59;0,91;g.cm-3;14;O;-0,263;-0,263;CoefCorR
1;7;Aiba.and.Kohyama;1997;Aiba.and.Kohyama.1997;10.2307/2960532;http://www.jstor.org/stable/2960532?origin=crossref;field_forest understory;natural;unstressed;Japan_Southern;2;Koyohji valley;Segire valley;NA;NA;NA;transect;30:18:00/N;N;130:24:00/E;E;30:20:00/N;N;130:27:00/E;E;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;tree;;temperate rain forest;intersp;intersp;14;growth;GR(Di)mean;0,3;0,9;mm.y-1;GR(Di);0,03;0,09;cm.yr-1;see Sheil et al 1995;local;1983-1993;local;1997;sapling;sapling;sapling;y;Sim;D;diameter;2;8;5;WD;WD;wood density ;0,47;0,74;g.cm-3;14;O;-0,413;-0,413;CoefCorR
1;8;Aiba.and.Kohyama;1997;Aiba.and.Kohyama.1997;10.2307/2960532;http://www.jstor.org/stable/2960532?origin=crossref;field_forest understory;natural;unstressed;Japan_Southern;2;Koyohji valley;Segire valley;NA;NA;NA;transect;30:18:00/N;N;130:24:00/E;E;30:20:00/N;N;130:27:00/E;E;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;tree ;;temperate rain forest;intersp;intersp;14;growth;GR(Di)mean;0,3;0,9;mm.y-1;GR(Di);0,03;0,09;cm.yr-1;see Sheil et al 1995;local;1983-1993;local;1997;sapling;sapling;sapling;y;Sim;D;diameter;2;8;5;CrownWidth;CrownWidth;CrownWidth;NA;NA;NA;14;N;-0,541;-0,541;CoefCorR
2;9;Aiba.and.Nakashizuka;2009;Aiba.and.Nakashizuka.2009;10.1111/j.1365-2745.2009.01522.x;http://onlinelibrary.wiley.com/doi/10.1111/j.1365-2745.2009.01522.x/pdf;field_forest understory;natural;unstressed;Malaysia_Sarawat;1;Lambir Hills tiol Park;NA;NA;NA;NA;point;04:02:00/N;N;113:50:00/E;E;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;woody;;tropical rain forest;intersp;intersp;16;growth;RGR(Mi);0,1;0,22;mg.g-1.day-1;RGR(Mi);0,0365;0,0803;g.g-1.y-1;(logMfinal-logMinitial)/time;local;2005-2007;local;2007;sapling?;sapling;sapling;y;Sim;H;height;1,5;1,5;1,5;SLA;SLA;Specific leaf area;11;22;cm2.g-1;172;P;0,35;0,35;Pearson
2;10;Aiba.and.Nakashizuka;2009;Aiba.and.Nakashizuka.2009;10.1111/j.1365-2745.2009.01522.x;http://onlinelibrary.wiley.com/doi/10.1111/j.1365-2745.2009.01522.x/pdf;field_forest understory;natural;unstressed;Malaysia_Sarawat;1;Lambir Hills tiol Park;NA;NA;NA;NA;point;04:02:00/N;N;113:50:00/E;E;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;woody;;tropical rain forest;intersp;intersp;16;growth;RGR(Mi);0,1;0,22;mg.g-1.day-1;RGR(Mi);0,0365;0,0803;g.g-1.y-1;(logMfinal-logMinitial)/time;local;2005-2007;literature.and.field;2007;sapling?;sapling;sapling;y;Sim;H;height;1,5;1,5;1,5;Hmax;Hmax;asymptotic maximal height;3;65;m;172;N;-0,29;-0,29;Pearson
