variable;myClass;unit;description;levels
id;integer;NA;study identification number, sort by alphebetic order;0,108333333
idcor;integer;NA;identifiant for each coefficient of correlation reocrded, sort by study;0,542361111
authors;factor;NA;name of the first author or the two unique authors;0,097916667
year;factor;NA;years of publication;0,108333333
year2;factor;NA;"same than years but without a, b, c labels used in ""year"" colomn for differenciate different articles from the same authors the same year";
ref;factor;NA;authors name, publication year and the order of the study for same author and year;0,108333333
doi;factor;NA;digital object identifier of each study;0,108333333
url;factor;NA;URL to dowload quickely the article;0,108333333
experiment.type;factor;NA;type of experiment: greenhouse, common garden, shadhouse, fiedl plantation, field forest etc.;
condition;factor;NA;experimental condition: natural, control and L/N/salt _low/high/moderate;01:17
stress;factor;NA;stress vs unstressed, similar to 'condition' but resume;1:3 gradient, strees, unstressed
location;factor;NA;Country_State_Site;01:57
nb.site;numeric;NA;number of site used to perfomes the correlation OR number of site where the plants are originated;01:07
names.s1;factor;NA;name of site nbr 1;
names.s2;factor;NA;name of site nbr 2;
names.s3;factor;NA;name of site nbr 3;
names.s4;factor;NA;name of site nbr 4;
names.s5;factor;NA;name of site nbr 5;
trace;factor;NA;data harvesting in the field;transect, point, square
lat.dms.s1;factor;degree minute seconde;latitude site 1;
lat.dg.s1;factor;direction;latitude site 1;north vs south
long.dms.s1;factor;degree minute seconde;longitude site 1;
long.dir.s1;factor;direction;longitude site 1;east vs west
lat.dms.s2;factor;degree minute seconde;latitude site 2;
lat.dir.s2;factor;direction;latitude site 2;north vs south
long.dms.s2;factor;degree minute seconde;longitude site 2;
long.dir.s2;factor;direction;longitude site 2;east vs west
lat.dms.s3;factor;degree minute seconde;latitude site 3;
lat.dir.s3;factor;direction;latitude site 3;north vs south
long.dms.s3;factor;degree minute seconde;longitude site 3;
long.dir.s3;factor;direction;longitude site 3;east vs west
lat.dms.s4;factor;degree minute seconde;latitude site 4;
lat.dir.s4;factor;direction;latitude site 4;north vs south
long.dms.s4;factor;degree minute seconde;longitude site 4;
long.dir.s4;factor;direction;longitude site 4;east vs west
lat.dms.s5;factor;degree minute seconde;latitude site 5;
lat.dir.s5;factor;direction;latitude site 5;north vs south
long.dms.s5;factor;degree minute seconde;longitude site 5;
long.dir.s5;factor;direction;longitude site 1;east vs west
life.form;factor;NA;life form studied: tree, woody or mix;3: tree, woody, mix
veg.sp;factor;NA;species or genera ;
veg.type;factor;NA;our classification according to Wittakers vegetation types;
bio.scale;factor;NA;biological scale at which the correlation coeficinet has been done;2 levels: inter vs intraspecific
bio.scale.genera;factor;NA;biological scale including intragenera level;3 levels: inter, and intraspci and intragenera
nb.sp.authors;numeric;NA;number of species used to do the correlation;
fitness;factor;NA;fitness trait recorded: growth or mortality;
RGR.authors;factor;NA;mesure used  to qualified growth;01:21
RGR.min.authors;numeric;multiple;minimal value of growth range;
RGR.max.authors;numeric;multiple;maximal value of growth range;
RGR.unit.authors;factor;NA;unit used by the authors for the growth;
RGR;factor;NA;standardised measurement of growth, same than RGR.authors but with a regroupment of class;01:08
RGR.min;numeric;standardized;minimal value of growth range, but unit standardized across RGR measurment used;
RGR.max;numeric;standardized;maximal value of growth range , but unit standardized across RGR measurment used;
RGR.unit;factor;standardized;standardized unit;
RGR.eq;factor;NA;description of the equation used by the authors to measure growth;
RGR.dataset;factor;NA;origine of the data for growth: dataset from another article, or local;
RGR.dataset.period;factor;NA;periode of measurement of the data for growth;
trait.dataset;factor;NA;origine of the data for trait: dataset from another article, or local;
Traits.Dataset.period;factor;NA;periode of measurement of the data for trait;
RGR.stage;factor;NA;stage of plant used for growth measurment;
trait.stage;factor;NA;stage of plant used for trait measurment;
stage;factor;NA;stage for traits measurement used in the analysis;
stage.reported;factor;NA;indication if the stage has been really reported by the authors or deducted from the size information;y: yes reported, n: no + stage attributed
stage.simi;factor;NA;Are the stage used to measure growth and trait similar?;1:2, sim vs diff
trait.size.unit;factor;NA;unit used for size;m, years or cm
measure.size;factor;NA;measure used to qualified the range of plant size;3 levels: diameter, height or age
size.min;numeric;multiple;"min size value used by the authors, have to be link to the ""mesaure.size ' column to know the type of measurement and the unit";
size.max;numeric;multiple;"max size value used by the authors, have to be link to the ""mesaure.size ' column to know the type of measurement and the unit";
size.mean.range;numeric;multiple;average of min and max;
trait.org;factor;NA;trait acronyme used by the authors;
trait;factor;NA;standardized trait names;
trait.def;factor;NA;standardized trait def;
trait.min;numeric;multiple;min value of the trait with a standardized unit;
trait.max;numeric;multiple;max value of the trait with a standardized unit;
trait.unit;factor;NA;standardised unit of trait;
sample.size;numeric;NA;number of bio unit used to perfom the correlation;
relation.sign;factor;NA;sign of the relation and significance: non significant, positive or negative;
coef.value.recorded;numeric;NA;coefficent value give  by the authors, without sign if R2;
coef;numeric;NA;coefficient of correlation r;
coef.type;factor;NA;type of coeficent of correlation used by the authors;01:07;"""CoefCorR"", ""CoefDetRsq"", ""CoefRegR"", ""KendallRankCorr"", ""Pearson"", ""Spearman"", ""no"""
